Conference,Year,Title,DOI,FirstPage,LastPage,PaperType,OpenAlex Year,OpenAlex Publication Date,OpenAlex ID,OpenAlex Venue Name,OpenAlex First Page,OpenAlex Last Page,Number of Pages,Number of References,Number of Concepts,Number of Citations,Number of Authors,Cross-type Collaboration,Cross-country Collaboration,With US Authors,Both Cross-type and Cross-country Collaboration,IEEE Title,Citation Counts on Google Scholar,Award,Award Name,Award Track
InfoVis,2011,D³ Data-Driven Documents,10.1109/TVCG.2011.185,2301,2309,J,2011,2011-12-01,W2135415614,IEEE Transactions on Visualization and Computer Graphics,2301.0,2309.0,9.0,27,15,2239,3.0,False,False,True,False,D³ Data-Driven Documents,3593,False,,
Vis,1991,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,10.1109/VISUAL.1991.175815,284,291,C,1991,1991-10-22,W2146872957,ieee visualization,284.0,291.0,8.0,21,13,1116,2.0,False,False,True,False,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,2192,False,,
Vis,1990,Parallel coordinates: a tool for visualizing multi-dimensional geometry,10.1109/VISUAL.1990.146402,361,378,C,1990,1990-10-23,W2034694694,ieee visualization,361.0,378.0,18.0,20,16,990,2.0,False,False,True,False,Parallel coordinates: a tool for visualizing multi-dimensional geometry,1703,False,,
InfoVis,2006,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,10.1109/TVCG.2006.147,741,748,J,2006,2006-09-01,W2145640629,IEEE Transactions on Visualization and Computer Graphics,741.0,748.0,8.0,32,11,807,1.0,False,False,False,False,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,1363,True,BP,InfoVis
Vis,1997,ROAMing terrain: Real-time Optimally Adapting Meshes,10.1109/VISUAL.1997.663860,81,88,C,1997,1997-10-01,W2532506824,ieee visualization,81.0,88.0,8.0,20,12,585,6.0,False,False,True,False,ROAMing terrain: Real-time Optimally Adapting Meshes,1408,False,,
Vis,2003,Acceleration techniques for GPU-based volume rendering,10.1109/VISUAL.2003.1250384,287,292,C,2003,2003-10-22,W2113001609,ieee visualization,38.0,38.0,1.0,17,16,607,2.0,False,False,False,False,Acceleration techniques for GPU-based volume rendering,1289,False,,
Vis,2002,Efficient simplification of point-sampled surfaces,10.1109/VISUAL.2002.1183771,163,170,C,2002,2002-10-27,W2156849739,ieee visualization,163.0,170.0,8.0,37,12,599,3.0,False,True,False,False,Efficient simplification of point-sampled surfaces,1324,False,,
InfoVis,2005,Vizster: visualizing online social networks,10.1109/INFVIS.2005.1532126,32,39,C,2005,2005-10-23,W1546650522,ieee symposium on information visualization,5.0,5.0,1.0,19,11,542,2.0,False,False,True,False,Vizster: visualizing online social networks,1024,False,,
Vis,2001,Point set surfaces,10.1109/VISUAL.2001.964489,21,28,C,2001,2001-01-01,W3146210588,ieee visualization,,,,36,3,205,6.0,True,True,True,True,Point set surfaces,1069,False,,
InfoVis,2007,ManyEyes: a Site for Visualization at Internet Scale,10.1109/TVCG.2007.70577,1121,1128,J,2007,2007-11-01,W2119828234,IEEE Transactions on Visualization and Computer Graphics,1121.0,1128.0,8.0,81,14,626,5.0,False,False,True,False,ManyEyes: a Site for Visualization at Internet Scale,990,False,,
InfoVis,1995,Visualizing the non-visual: spatial analysis and interaction with information from text documents,10.1109/INFVIS.1995.528686,51,58,C,1995,1995-10-30,W2141018272,ieee symposium on information visualization,442.0,450.0,9.0,9,13,597,7.0,False,False,True,False,Visualizing the non-visual: spatial analysis and interaction with information from text documents,904,False,,
InfoVis,2007,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,10.1109/TVCG.2007.70515,1224,1231,J,2007,2007-11-01,W2161133721,IEEE Transactions on Visualization and Computer Graphics,1224.0,1231.0,8.0,53,9,723,4.0,False,False,True,False,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,1108,False,,
InfoVis,2000,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",10.1109/INFVIS.2000.885086,5,14,C,2000,2000-10-09,W1932370209,ieee symposium on information visualization,5.0,14.0,10.0,39,15,113,2.0,False,False,True,False,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",1029,False,,
Vis,1998,Smooth view-dependent level-of-detail control and its application to terrain rendering,10.1109/VISUAL.1998.745282,35,42,C,1998,1998-10-18,W2164191390,ieee visualization,35.0,42.0,8.0,24,9,440,1.0,False,False,True,False,Smooth view-dependent level-of-detail control and its application to terrain rendering,1031,False,,
Vis,1991,The asymptotic decider: resolving the ambiguity in marching cubes,10.1109/VISUAL.1991.175782,83,"91, 413",C,1991,1991-10-22,W2106073588,ieee visualization,83.0,91.0,9.0,16,11,403,2.0,False,False,True,False,The asymptotic decider: resolving the ambiguity in marching cubes,855,False,,
InfoVis,2010,Narrative Visualization: Telling Stories with Data,10.1109/TVCG.2010.179,1139,1148,J,2010,2010-11-01,W2157900633,IEEE Transactions on Visualization and Computer Graphics,1139.0,1148.0,10.0,18,12,656,2.0,False,False,True,False,Narrative Visualization: Telling Stories with Data,1287,False,,
Vis,1998,Simplifying surfaces with color and texture using quadric error metrics,10.1109/VISUAL.1998.745312,263,269,C,1998,1998-10-18,W2027947870,ieee visualization,263.0,269.0,7.0,18,10,372,2.0,False,False,True,False,Simplifying surfaces with color and texture using quadric error metrics,728,False,,
InfoVis,2009,A Nested Model for Visualization Design and Validation,10.1109/TVCG.2009.111,921,928,J,2009,2009-11-01,W2142493242,IEEE Transactions on Visualization and Computer Graphics,921.0,928.0,8.0,54,16,612,1.0,False,False,False,False,A Nested Model for Visualization Design and Validation,964,False,,
Vis,1994,XmdvTool: integrating multiple methods for visualizing multivariate data,10.1109/VISUAL.1994.346302,326,333,C,1994,1994-10-17,W2017018978,ieee visualization,326.0,333.0,8.0,12,11,359,1.0,False,False,True,False,XmdvTool: integrating multiple methods for visualizing multivariate data,628,False,,
InfoVis,2000,A taxonomy of visualization techniques using the data state reference model,10.1109/INFVIS.2000.885092,69,75,C,2000,2000-10-09,W2164244016,ieee symposium on information visualization,69.0,75.0,7.0,7,12,410,1.0,False,False,True,False,A taxonomy of visualization techniques using the data state reference model,833,False,,
InfoVis,2007,NodeTrix: a Hybrid Visualization of Social Networks,10.1109/TVCG.2007.70582,1302,1309,J,2007,2007-11-01,W2111347866,IEEE Transactions on Visualization and Computer Graphics,1302.0,1309.0,8.0,36,15,443,3.0,True,True,False,True,NodeTrix: a Hybrid Visualization of Social Networks,658,False,,
Vis,1999,Hierarchical parallel coordinates for exploration of large datasets,10.1109/VISUAL.1999.809866,43,508,C,1999,1999-10-24,W2145646037,ieee visualization,43.0,50.0,8.0,28,12,353,3.0,False,False,True,False,Hierarchical parallel coordinates for exploration of large datasets,631,False,,
VAST,2007,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,10.1109/VAST.2007.4389006,131,138,C,2008,2008-04-01,W2169700383,Information Visualization,118.0,132.0,15.0,34,11,347,4.0,False,False,True,False,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,731,False,,
Vis,2001,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,10.1109/VISUAL.2001.964519,255,262,C,2001,2001-10-21,W2104451730,ieee visualization,255.0,262.0,8.0,32,13,313,3.0,False,False,True,False,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,572,True,BP,Vis
InfoVis,2014,UpSet: Visualization of Intersecting Sets,10.1109/TVCG.2014.2346248,1983,1992,J,2014,2014-11-06,W1973012451,IEEE Transactions on Visualization and Computer Graphics,1983.0,1992.0,10.0,28,14,924,5.0,False,False,True,False,UpSet: Visualization of Intersecting Sets,1082,False,,
InfoVis,2005,Low-level components of analytic activity in information visualization,10.1109/INFVIS.2005.1532136,111,117,C,2005,2005-10-23,W1512287614,ieee symposium on information visualization,15.0,15.0,1.0,14,10,461,3.0,False,False,True,False,Low-level components of analytic activity in information visualization,788,False,,
InfoVis,2000,ThemeRiver: visualizing theme changes over time,10.1109/INFVIS.2000.885098,115,123,C,2000,2000-10-09,W2114313114,ieee symposium on information visualization,115.0,123.0,9.0,21,10,372,3.0,False,False,True,False,ThemeRiver: visualizing theme changes over time,646,False,,
Vis,2003,Curvature-based transfer functions for direct volume rendering: methods and applications,10.1109/VISUAL.2003.1250414,513,520,C,2003,2003-10-22,W2104441030,ieee visualization,67.0,,,38,11,331,4.0,False,True,True,False,Curvature-based transfer functions for direct volume rendering: methods and applications,573,False,,
InfoVis,2000,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",10.1109/INFVIS.2000.885091,57,65,C,2000,2000-10-09,W2106441507,ieee symposium on information visualization,57.0,65.0,9.0,13,11,352,2.0,False,False,True,False,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",617,False,,
InfoVis,1999,Cluster and calendar based visualization of time series data,10.1109/INFVIS.1999.801851,4,"9, 140",C,1999,1999-10-24,W2111263072,ieee symposium on information visualization,4.0,9.0,6.0,7,9,341,2.0,True,False,False,False,Cluster and calendar based visualization of time series data,631,False,,
