Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Type
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,1.0,Michael Bostock,https://openalex.org/A2048345123,"Computer Science Department, Stanford University, Stanford, CA, USA",education
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,2.0,Vadim Ogievetsky,https://openalex.org/A2668634103,"Computer Science Department, Stanford University, Stanford, CA, USA",education
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,3.0,Jeffrey Heer,https://openalex.org/A2112690490,"Computer Science Department, Stanford University, Stanford, CA, USA",education
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,2.0,1.0,B. Johnson,https://openalex.org/A2167794833,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",education
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,2.0,2.0,B. Shneiderman,https://openalex.org/A668764113,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",education
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,2.0,1.0,A. Inselberg,https://openalex.org/A1960462161,"IBM Scientific Center, Los Angeles, CA, USA",company
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,2.0,2.0,B. Dimsdale,https://openalex.org/A2005147459,"IBM Scientific Center, Los Angeles, CA, USA",company
2006,10.1109/TVCG.2006.147,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,1.0,1.0,Danny Holten,https://openalex.org/A2026092038,"Technische Universiteit Eindhoven, Netherlands",education
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,1.0,M. Duchaineau,https://openalex.org/A224847398,"Los Alamos National Laboratory, USA",facility
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,2.0,M. Wolinsky,https://openalex.org/A1985918546,"Los Alamos National Laboratory, USA",facility
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,3.0,D.E. Sigeti,https://openalex.org/A2043378006,"Los Alamos National Laboratory, USA",facility
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,4.0,M.C. Miller,https://openalex.org/A2124650163,Lawrence livermore National Laboratory,facility
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,5.0,C. Aldrich,https://openalex.org/A2616419000,"Los Alamos National Laboratory, USA",facility
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,6.0,M.B. Mineev-Weinstein,https://openalex.org/A56243980,"Los Alamos National Laboratory, USA",facility
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,2.0,1.0,J. Kruger,https://openalex.org/A2110385964,"Computer Graphics and Visualization Group, Technical University Munich, Germany",education
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,2.0,2.0,R. Westermann,https://openalex.org/A2105141265,"Computer Graphics and Visualization Group, Technical University Munich, Germany",education
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,1.0,M. Pauly,https://openalex.org/A2125943848,"ETH Zurich, Switzerland",education
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,2.0,M. Gross,https://openalex.org/A2289975239,"ETH Zurich, Switzerland",education
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,3.0,L.P. Kobbelt,https://openalex.org/A1985366706,"RWTH Aachen, Germany",education
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,2.0,1.0,J. Heer,https://openalex.org/A2112690490,"Computer Science Division, University of California, Berkeley, USA",education
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,2.0,2.0,D. Boyd,https://openalex.org/A2149064801,"School of Information Management and Systems, University of California, Berkeley, USA",education
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,1.0,M. Alexa,,"Technical University of Darmstadt, Germany",education
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,2.0,J. Behr,,"ZGDV Darmstadt, Germany",education
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,3.0,D. Cohen-Or,,"Tel-Aviv University, Israel",education
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,4.0,S. Fleishman,,"Tel-Aviv University, Israel",education
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,5.0,D. Levin,,"Tel-Aviv University, Israel",education
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,6.0,C.T. Silva,,"AT and T Laboratories, USA",company
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,1.0,Fernanda B. Viegas,https://openalex.org/A2113308670,"IBM Research GmbH, Switzerland",company
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,2.0,Martin Wattenberg,https://openalex.org/A2139539936,"IBM Research GmbH, Switzerland",company
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,3.0,Frank van Ham,https://openalex.org/A2107229462,"IBM Research GmbH, Switzerland",company
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,4.0,Jesse Kriss,https://openalex.org/A1984425389,"IBM Research GmbH, Switzerland",company
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,5.0,Matt McKeon,https://openalex.org/A2673544958,"IBM Research GmbH, Switzerland",company
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,1.0,J.A. Wise,https://openalex.org/A2132464443,"Pacific Northwest National Laboratory, Richland, WA, USA",facility
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,2.0,J.J. Thomas,https://openalex.org/A2114031719,"Pacific Northwest National Laboratory, Richland, WA, USA",facility
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,3.0,K. Pennock,https://openalex.org/A1990554168,"Pacific Northwest National Laboratory, Richland, WA, USA",facility
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,4.0,D. Lantrip,https://openalex.org/A2694013651,"Pacific Northwest National Laboratory, Richland, WA, USA",facility
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,5.0,M. Pottier,https://openalex.org/A2032565846,"Pacific Northwest National Laboratory, Richland, WA, USA",facility
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,6.0,A. Schur,https://openalex.org/A2026731395,"Pacific Northwest National Laboratory, Richland, WA, USA",facility
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,7.0,V. Crow,https://openalex.org/A1977506469,"Pacific Northwest National Laboratory, Richland, WA, USA",facility
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,1.0,Ji Soo Yi,https://openalex.org/A2137524282,"Health Systems Institute, Georgia Institute of Technology, USA",education
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,2.0,Youn ah Kang,https://openalex.org/A2140912119,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",education
