Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Country Code
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,1.0,Michael Bostock,https://openalex.org/A2048345123,computer science department stanford university stanford ca usa,US
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,2.0,Vadim Ogievetsky,https://openalex.org/A2668634103,computer science department stanford university stanford ca usa,US
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,3.0,Jeffrey Heer,https://openalex.org/A2112690490,computer science department stanford university stanford ca usa,US
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,2.0,1.0,B. Johnson,https://openalex.org/A2167794833,department of computer science human computer interaction laboratory university of maryland college park md usa,US
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,2.0,2.0,B. Shneiderman,https://openalex.org/A668764113,department of computer science human computer interaction laboratory university of maryland college park md usa,US
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,2.0,1.0,A. Inselberg,https://openalex.org/A1960462161,ibm scientific center los angeles ca usa,US
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,2.0,2.0,B. Dimsdale,https://openalex.org/A2005147459,ibm scientific center los angeles ca usa,US
2006,10.1109/TVCG.2006.147,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,1.0,1.0,Danny Holten,https://openalex.org/A2026092038,technische universiteit eindhoven netherlands,NL
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,1.0,M. Duchaineau,https://openalex.org/A224847398,los alamos national laboratory usa,US
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,2.0,M. Wolinsky,https://openalex.org/A1985918546,los alamos national laboratory usa,US
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,3.0,D.E. Sigeti,https://openalex.org/A2043378006,los alamos national laboratory usa,US
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,4.0,M.C. Miller,https://openalex.org/A2124650163,lawrence livermore national laboratory,US
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,5.0,C. Aldrich,https://openalex.org/A2616419000,los alamos national laboratory usa,US
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,6.0,M.B. Mineev-Weinstein,https://openalex.org/A56243980,los alamos national laboratory usa,US
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,2.0,1.0,J. Kruger,https://openalex.org/A2110385964,computer graphics and visualization group technical university munich germany,DE
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,2.0,2.0,R. Westermann,https://openalex.org/A2105141265,computer graphics and visualization group technical university munich germany,DE
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,1.0,M. Pauly,https://openalex.org/A2125943848,eth zurich switzerland,CH
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,2.0,M. Gross,https://openalex.org/A2289975239,eth zurich switzerland,CH
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,3.0,L.P. Kobbelt,https://openalex.org/A1985366706,rwth aachen germany,DE
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,2.0,1.0,J. Heer,https://openalex.org/A2112690490,computer science division university of california berkeley usa,US
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,2.0,2.0,D. Boyd,https://openalex.org/A2149064801,school of information management and systems university of california berkeley usa,US
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,1.0,M. Alexa,,technical university of darmstadt germany,DE
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,2.0,J. Behr,,zgdv darmstadt germany,DE
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,3.0,D. Cohen-Or,,tel aviv university israel,IL
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,4.0,S. Fleishman,,tel aviv university israel,IL
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,5.0,D. Levin,,tel aviv university israel,IL
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,6.0,C.T. Silva,,at and t laboratories usa,US
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,1.0,Fernanda B. Viegas,https://openalex.org/A2113308670,ibm research gmbh switzerland,US
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,2.0,Martin Wattenberg,https://openalex.org/A2139539936,ibm research gmbh switzerland,US
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,3.0,Frank van Ham,https://openalex.org/A2107229462,ibm research gmbh switzerland,US
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,4.0,Jesse Kriss,https://openalex.org/A1984425389,ibm research gmbh switzerland,US
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,5.0,Matt McKeon,https://openalex.org/A2673544958,ibm research gmbh switzerland,US
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,1.0,J.A. Wise,https://openalex.org/A2132464443,pacific northwest national laboratory richland wa usa,US
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,2.0,J.J. Thomas,https://openalex.org/A2114031719,pacific northwest national laboratory richland wa usa,US
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,3.0,K. Pennock,https://openalex.org/A1990554168,pacific northwest national laboratory richland wa usa,US
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,4.0,D. Lantrip,https://openalex.org/A2694013651,pacific northwest national laboratory richland wa usa,US
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,5.0,M. Pottier,https://openalex.org/A2032565846,pacific northwest national laboratory richland wa usa,US
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,6.0,A. Schur,https://openalex.org/A2026731395,pacific northwest national laboratory richland wa usa,US
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,7.0,V. Crow,https://openalex.org/A1977506469,pacific northwest national laboratory richland wa usa,US
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,1.0,Ji Soo Yi,https://openalex.org/A2137524282,health systems institute georgia institute of technology usa,US
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,2.0,Youn ah Kang,https://openalex.org/A2140912119,school of interactive computing gvu center georgia institute of technology usa,US
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,3.0,John Stasko,https://openalex.org/A2087252583,school of interactive computing gvu center georgia institute of technology usa,US
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,4.0,J.A. Jacko,https://openalex.org/A3207917870,school of interactive computing gvu center georgia institute of technology usa,US
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",2.0,1.0,C. Stolte,https://openalex.org/A2112794371,computer science department university of stanford usa,US
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",2.0,2.0,P. Hanrahan,https://openalex.org/A2225733586,computer science department university of stanford usa,US
1998,10.1109/VISUAL.1998.745282,Smooth view-dependent level-of-detail control and its application to terrain rendering,1.0,1.0,H. Hoppe,https://openalex.org/A2206701583,microsoft research usa,US
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,2.0,1.0,G.M. Nielson,https://openalex.org/A2113934472,computer science arizona state university tempe az usa,US
