Year,DOI,Award,Track,Title,Author
2021,10.1109/tvcg.2021.3114808,BP,Vis,Feature Curves and Surfaces of 3D Asymmetric Tensor Fields,"Shih-Hsuan Hung, Yue Zhang, Harry Yeh, Eugene Zhang"
2021,10.1109/tvcg.2021.3114797,BP,Vis,IRVINE: Using Interactive Clustering and Labeling to Analyze Correlation Patterns: A Design Study from the Manufacturing of Electrical Engines,"Joscha Eirich, Jakob Bonart, Dominik JÃ¤ckle, Michael Sedlmair, Ute Schmid, Kai Fischbach, Tobias Schreck, JÃ¼rgen Bernard"
2021,10.1109/tvcg.2021.3114844,BP,Vis,Perception! Immersion! Empowerment! Superpowers as Inspiration for Visualization,"Wesley Willett, Bon Adriel Aseniero, Sheelagh Carpendale, Pierre Dragicevic, Yvonne Jansen, Lora Oehlberg, Petra Isenberg"
2021,10.1109/tvcg.2021.3114773,BP,Vis,Simultaneous Matrix Orderings for Graph Collections,"Nathan van Beusekom, Wouter Meulemans, Bettina Speckmann"
2021,10.1109/tvcg.2021.3114814,HM,Vis,An Evaluation-Focused Framework for Visualization Recommendation Algorithms,"Zehua Zeng, Phoebe Moh, Fan Du, Jane Hoffswell, Tak Yeon Lee, Sana Malik, Eunyee Koh, Leilani Battle"
2021,10.1109/tvcg.2021.3114806,HM,Vis,Augmenting Sports Videos with VisCommentator,"Zhutian Chen, Shuainan Ye, Xiangtong Chu, Haijun Xia, Hui Zhang, Huamin Qu, Yingcai Wu"
2021,10.1109/tvcg.2021.3114824,HM,Vis,Causal Support: Modeling Causal Inferences with Visualizations,"Alex Kale, Yifan Wu, Jessica Hullman"
2021,10.1109/tvcg.2021.3114846,HM,Vis,Communicating Visualizations without Visuals: Investigation of Visualization Alternative Text for People with Visual Impairments,"Crescentia Jung, Shubham R. Mehta, Atharva Kulkarni, Yuhang Zhao, Yea-Seul Kim"
2021,10.1109/tvcg.2021.3114780,HM,Vis,Context Matters: A Theory of Semantic Discriminability for Perceptual Encoding Systems,"Kushin Mukherjee, Brian N. Yin, Brianne E. Sherman, Laurent Lessard, Karen Schloss"
2021,10.1109/tvcg.2021.3114818,HM,Vis,Explanatory Journeys: Visualising to Understand and Explain Administrative Justice Paths of Redress,"Jonathan C. Roberts, Peter W. S. Butcher, Ann Sherlock, Sarah Nason"
