Year,DOI,Title,Number of Authors,Author Position,Author Name,Author ID,Author Affiliation,One Affiliation
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,1.0,Michael Bostock,https://ieeexplore.ieee.org/author/37591067400,"Computer Science Department, Stanford University, Stanford, CA, USA",True
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,2.0,Vadim Ogievetsky,https://ieeexplore.ieee.org/author/38016292400,"Computer Science Department, Stanford University, Stanford, CA, USA",True
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,3.0,3.0,Jeffrey Heer,https://ieeexplore.ieee.org/author/37550791300,"Computer Science Department, Stanford University, Stanford, CA, USA",True
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,2.0,1.0,B. Johnson,https://ieeexplore.ieee.org/author/37381975300,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",True
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,2.0,2.0,B. Shneiderman,https://ieeexplore.ieee.org/author/37283016400,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",True
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,2.0,1.0,A. Inselberg,https://ieeexplore.ieee.org/author/37294162600,"IBM Scientific Center, Los Angeles, CA, USA",False
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,2.0,2.0,B. Dimsdale,https://ieeexplore.ieee.org/author/37426169800,"IBM Scientific Center, Los Angeles, CA, USA",True
2006,10.1109/TVCG.2006.147,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,1.0,1.0,Danny Holten,https://ieeexplore.ieee.org/author/37827881300,"Technische Universiteit Eindhoven, Netherlands",True
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,1.0,M. Duchaineau,https://ieeexplore.ieee.org/author/37267813100,"Los Alamos National Laboratory, USA",False
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,2.0,M. Wolinsky,https://ieeexplore.ieee.org/author/37443252200,"Los Alamos National Laboratory, USA",True
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,3.0,D.E. Sigeti,https://ieeexplore.ieee.org/author/37443253500,"Los Alamos National Laboratory, USA",True
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,4.0,M.C. Miller,https://ieeexplore.ieee.org/author/37086991386,,
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,5.0,C. Aldrich,https://ieeexplore.ieee.org/author/37087679583,"Los Alamos National Laboratory, USA",True
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,6.0,6.0,M.B. Mineev-Weinstein,https://ieeexplore.ieee.org/author/37087680269,"Los Alamos National Laboratory, USA",True
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,2.0,1.0,J. Kruger,https://ieeexplore.ieee.org/author/37548560500,"Computer Graphics and Visualization Group, Technical University Munich, Germany",True
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,2.0,2.0,R. Westermann,https://ieeexplore.ieee.org/author/37444424000,"Computer Graphics and Visualization Group, Technical University Munich, Germany",True
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,1.0,M. Pauly,https://ieeexplore.ieee.org/author/37283033000,"ETH Zurich, Switzerland",True
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,2.0,M. Gross,https://ieeexplore.ieee.org/author/37275694700,"ETH Zurich, Switzerland",True
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,3.0,3.0,L.P. Kobbelt,https://ieeexplore.ieee.org/author/37266790600,"RWTH Aachen, Germany",True
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,2.0,1.0,J. Heer,https://ieeexplore.ieee.org/author/37550791300,"Computer Science Division, University of California, Berkeley, USA",True
