DOI,Status Code,Reference Count,First Author Affiliation
10.1109/TVCG.2011.185,200,41.0,[]
10.1109/VISUAL.1991.175815,200,23.0,[]
10.1109/VISUAL.1990.146402,200,47.0,[]
10.1109/TVCG.2006.147,200,33.0,[]
10.1109/VISUAL.1997.663860,200,19.0,[]
10.1109/VISUAL.2003.1250384,200,16.0,[]
10.1109/VISUAL.2002.1183771,200,32.0,[]
10.1109/INFVIS.2005.1532126,200,21.0,[]
10.1109/VISUAL.2001.964489,200,46.0,[]
10.1109/TVCG.2007.70577,200,30.0,[]
10.1109/INFVIS.1995.528686,200,11.0,[]
10.1109/TVCG.2007.70515,200,56.0,[]
10.1109/INFVIS.2000.885086,200,29.0,[]
10.1109/VISUAL.1998.745282,200,23.0,[]
10.1109/VISUAL.1991.175782,200,16.0,[]
10.1109/TVCG.2010.179,200,27.0,[]
10.1109/VISUAL.1998.745312,200,19.0,[]
10.1109/TVCG.2009.111,200,53.0,[]
10.1109/VISUAL.1994.346302,200,16.0,[]
10.1109/INFVIS.2000.885092,200,8.0,[]
10.1109/TVCG.2007.70582,200,35.0,[]
10.1109/VISUAL.1999.809866,200,32.0,[]
10.1109/VAST.2007.4389006,200,24.0,[]
10.1109/VISUAL.2001.964519,200,34.0,[]
10.1109/TVCG.2014.2346248,200,29.0,[]
10.1109/INFVIS.2005.1532136,200,15.0,[]
10.1109/INFVIS.2000.885098,200,18.0,[]
10.1109/VISUAL.2003.1250414,200,36.0,[]
10.1109/INFVIS.2000.885091,200,15.0,[]
10.1109/INFVIS.1999.801851,200,7.0,[]
10.1109/VISUAL.1999.809869,200,18.0,[]
10.1109/VISUAL.1999.809883,200,21.0,[]
10.1109/VISUAL.1996.568108,200,17.0,[]
10.1109/INFVIS.2002.1173148,200,23.0,[]
10.1109/TVCG.2007.70539,200,27.0,[]
10.1109/TVCG.2008.153,200,42.0,[]
10.1109/VISUAL.1998.745280,200,17.0,[]
10.1109/VISUAL.1996.568126,200,23.0,[]
10.1109/TVCG.2006.115,200,32.0,[]
10.1109/TVCG.2012.213,200,95.0,[]
10.1109/TVCG.2013.226,200,40.0,[]
10.1109/VISUAL.1998.745713,200,17.0,[]
10.1109/TVCG.2007.70594,200,12.0,[]
10.1109/INFVIS.1997.636718,200,29.0,[]
10.1109/VISUAL.2000.885721,200,22.0,[]
10.1109/INFVIS.1997.636792,200,24.0,[]
10.1109/VISUAL.1998.745314,200,22.0,[]
10.1109/TVCG.2009.171,200,15.0,[]
10.1109/INFVIS.2001.963273,200,16.0,[]
10.1109/TVCG.2007.70535,200,54.0,[]
10.1109/INFVIS.2004.1,200,14.0,[]
10.1109/VISUAL.1997.663875,200,14.0,[]
10.1109/VISUAL.2005.1532788,200,30.0,[]
10.1109/TVCG.2006.166,200,38.0,[]
10.1109/TVCG.2008.166,200,20.0,[]
10.1109/VISUAL.1997.663888,200,28.0,[]
10.1109/VISUAL.1990.146375,200,6.0,[]
10.1109/INFVIS.2004.64,200,27.0,[]
10.1109/TVCG.2007.70541,200,45.0,[]
10.1109/VISUAL.1994.346331,200,19.0,[]
10.1109/VAST.2011.6102456,200,37.0,[]
10.1109/VISUAL.2005.1532781,200,30.0,[]
10.1109/TVCG.2011.239,200,35.0,[]
10.1109/VISUAL.2000.885694,200,30.0,[]
10.1109/VISUAL.1991.175794,200,34.0,[]
10.1109/INFVIS.2004.15,200,27.0,[]
10.1109/TVCG.2008.125,200,21.0,[]
10.1109/TVCG.2009.174,200,38.0,[]
10.1109/TVCG.2013.124,200,84.0,[]
10.1109/VISUAL.1990.146386,200,16.0,[]
10.1109/VISUAL.2001.964533,200,26.0,[]
10.1109/TVCG.2008.135,200,23.0,[]
10.1109/INFVIS.1999.801860,200,11.0,[]
10.1109/TVCG.2008.172,200,15.0,[]
10.1109/VISUAL.1996.568125,200,13.0,[]
10.1109/VAST.2007.4389011,200,53.0,[]
10.1109/VISUAL.1995.485139,200,9.0,[]
10.1109/INFVIS.1998.729559,200,30.0,[]
10.1109/INFVIS.2001.963279,200,22.0,[]
10.1109/INFVIS.2005.1532150,200,21.0,[]
10.1109/VISUAL.2002.1183766,200,32.0,[]
10.1109/VISUAL.1995.485140,200,30.0,[]
10.1109/VISUAL.1999.809908,200,0.0,[]
10.1109/INFVIS.1996.559214,200,17.0,[]
10.1109/VISUAL.1991.175773,200,44.0,[]
