DOI,WOS ID
10.1109/TVCG.2011.185,000296241900062
10.1109/VISUAL.1991.175815,
10.1109/VISUAL.1990.146402,A1990BS55X00044
10.1109/TVCG.2006.147,000241383300012
10.1109/VISUAL.1997.663860,000073211800009
10.1109/VISUAL.2003.1250384,000189041100034
10.1109/VISUAL.2002.1183771,
10.1109/INFVIS.2005.1532126,
10.1109/VISUAL.2001.964489,000174051300001
10.1109/TVCG.2007.70577,000250401100010
10.1109/INFVIS.1995.528686,
10.1109/TVCG.2007.70515,000250401100023
10.1109/INFVIS.2000.885086,000165731800001
10.1109/VISUAL.1998.745282,000078506400003
10.1109/VISUAL.1991.175782,
10.1109/TVCG.2010.179,000283758600032
10.1109/VISUAL.1998.745312,000078506400033
10.1109/TVCG.2009.111,000270778900011
10.1109/VISUAL.1994.346302,
10.1109/INFVIS.2000.885092,000165731800007
10.1109/TVCG.2007.70582,000250401100033
10.1109/VISUAL.1999.809866,
10.1109/VAST.2007.4389006,000252077300017
10.1109/VISUAL.2001.964519,000174051300031
10.1109/TVCG.2014.2346248,000344991700043
10.1109/INFVIS.2005.1532136,000234641900015
10.1109/INFVIS.2000.885098,000165731800013
10.1109/VISUAL.2003.1250414,000189041100063
10.1109/INFVIS.2000.885091,000165731800006
10.1109/INFVIS.1999.801851,
10.1109/VISUAL.1999.809869,
10.1109/VISUAL.1999.809883,
10.1109/VISUAL.1996.568108,A1996BG87S00027
10.1109/INFVIS.2002.1173148,000180247100009
10.1109/TVCG.2007.70539,000250401100025
10.1109/TVCG.2008.153,
10.1109/VISUAL.1998.745280,000078506400001
10.1109/VISUAL.1996.568126,A1996BG87S00044
10.1109/TVCG.2006.115,000241383300074
10.1109/TVCG.2012.213,000310143100047
10.1109/TVCG.2013.226,000325991600021
10.1109/VISUAL.1998.745713,000078506400029
10.1109/TVCG.2007.70594,000250401100012
10.1109/INFVIS.1997.636718,A1997BJ80A00001
10.1109/VISUAL.2000.885721,000165971600049
10.1109/INFVIS.1997.636792,A1997BJ80A00014
10.1109/VISUAL.1998.745314,000078506400035
10.1109/TVCG.2009.171,000270778900038
