source,target,value
CN,US,123
DE,US,112
CA,US,70
US,FR,59
US,AT,43
GB,US,33
CN,DE,31
DE,AT,29
KR,US,28
US,GB,25
US,CH,22
US,AU,21
CA,FR,19
NO,AT,19
US,NL,18
US,BR,18
CN,GB,17
DE,GB,16
DE,NL,15
NL,FR,13
US,IL,13
DE,FR,12
CH,AT,12
AT,FR,11
US,SA,10
CN,SG,10
DE,CH,10
GB,NL,10
US,JP,9
CA,DE,9
SE,US,9
SA,AT,8
GB,AT,8
US,SG,8
NL,AT,8
US,IT,8
NL,FI,7
CA,GB,7
NO,US,7
CN,AT,7
CN,CA,7
GB,FR,7
US,HR,6
GB,AU,6
US,DE,6
CN,FR,6
DE,CA,6
US,IN,6
AT,FI,6
GB,CA,6
HR,AT,6
US,CA,5
GB,FI,5
GB,DE,5
CN,NL,5
NO,HR,5
DE,IL,5
FR,AU,5
DE,SA,4
CN,IL,4
US,ES,4
DE,ES,4
DE,SE,4
CA,AT,4
CN,AU,4
DK,FR,4
FR,US,4
AT,DE,3
CH,FR,3
US,NZ,3
US,BG,3
CZ,AT,3
US,CZ,3
BR,FR,3
DK,US,3
CA,BR,3
NO,DE,3
KR,IT,2
US,PE,2
DK,CA,2
CH,NL,2
SA,FR,2
AR,AT,2
CN,CH,2
AU,FR,2
DE,IT,2
DK,CH,2
US,KR,2
GB,KR,2
GB,JP,2
IT,FR,2
KR,DE,2
KR,CA,2
US,FI,2
NO,GB,2
KR,GB,2
SK,AT,2
CH,DE,2
CA,AU,2
DK,GB,2
US,IE,2
SE,DE,2
BR,NL,2
SE,GB,2
CH,IT,2
DE,AU,2
CN,KR,1
CN,JP,1
CA,NL,1
CH,CA,1
CH,US,1
DE,QA,1
GB,CH,1
QA,SA,1
CN,QA,1
SG,AT,1
FI,FR,1
KR,ES,1
AR,CZ,1
NO,SA,1
US,MY,1
NL,CZ,1
SE,FR,1
DK,FI,1
SK,US,1
SK,DE,1
RU,AU,1
DE,BG,1
CN,ES,1
GB,NZ,1
IT,AT,1
CH,PL,1
SE,FI,1
DE,RU,1
US,HU,1
RU,DE,1
DK,AT,1
DK,BE,1
IL,AT,1
CN,BR,1
DE,AE,1
US,BE,1
AR,US,1
DK,DE,1
ES,AT,1
FI,AT,1
GB,TR,1
NO,TR,1
GB,MY,1
SE,NZ,1
NO,CZ,1
BE,AT,1
BE,AU,1
AT,AU,1
KR,SA,1
NO,CH,1
MK,FR,1
DE,MK,1
CH,SG,1
NZ,AU,1
US,PL,1
GB,PL,1
FI,DE,1
NO,ES,1
BE,IT,1
KR,AU,1
AR,CH,1
DE,ZA,1
SG,IN,1
CN,IN,1
GB,CN,1
US,CN,1
FR,CA,1
GB,IN,1
CH,BE,1
KR,FR,1
CN,TW,1
GB,ES,1
DE,IE,1
SE,CA,1
DE,BR,1
GB,CZ,1
DK,NL,1
