source,target,value,year
US,DE,1,1990
US,CA,1,1990
KR,US,1,1991
FR,US,1,1992
US,DE,1,1992
DE,CN,1,1992
CN,CA,1,1992
PL,DE,1,1992
US,CH,1,1992
US,GB,1,1993
US,AU,1,1993
DK,CH,1,1993
DK,AT,1,1993
CH,AT,1,1993
RU,DE,1,1993
US,DE,2,1994
US,HU,1,1994
RU,DE,1,1994
US,NZ,1,1994
US,CA,2,1995
JP,US,2,1995
NL,US,1,1995
FR,US,1,1996
SG,US,1,1996
US,IL,1,1996
US,CA,1,1996
JP,US,1,1996
US,PE,1,1996
BG,US,1,1996
CH,DE,1,1997
US,CA,1,1997
US,IL,1,1997
US,DE,1,1997
DE,CN,1,1997
US,DE,2,1998
NL,US,2,1998
SE,GB,1,1998
KR,US,1,1998
FR,US,1,1998
NL,DE,1,1998
NL,CN,1,1998
US,CN,1,1998
DE,CN,1,1998
US,IL,1,1998
US,DE,2,1999
CH,US,1,1999
US,CA,1,1999
FR,US,1,1999
FR,US,2,2000
FR,CH,1,2000
DK,GB,1,2000
IT,AT,1,2000
US,DE,1,2000
NL,DE,1,2000
US,AT,1,2000
DE,AT,1,2000
US,GB,1,2000
BG,US,1,2000
US,DE,6,2001
US,IL,3,2001
US,IT,1,2001
IL,DE,1,2001
US,CH,1,2001
CA,AT,1,2001
US,CA,1,2001
DE,IL,1,2001
DE,CA,1,2001
US,DE,4,2002
US,IL,2,2002
SE,US,1,2002
GB,DE,1,2002
GB,CA,1,2002
DE,CA,1,2002
FR,US,1,2002
CH,DE,1,2002
FR,DE,1,2002
US,CA,1,2002
ES,US,1,2002
ES,CN,1,2002
US,CN,1,2002
DE,AT,1,2002
US,CH,1,2002
US,DE,4,2003
FR,CA,1,2003
US,AT,1,2003
US,GB,1,2003
FR,AT,1,2003
RU,AU,1,2003
FI,NL,1,2003
US,CA,1,2003
US,DE,5,2004
US,CA,2,2004
US,AT,2,2004
NL,US,1,2004
FR,CA,1,2004
BR,US,1,2004
SE,US,1,2004
SK,US,1,2004
SK,AT,1,2004
US,GB,1,2004
US,CH,1,2004
NL,DE,1,2004
US,CN,1,2004
NL,AT,1,2004
DE,AT,1,2004
US,DE,4,2005
US,AT,2,2005
US,IT,2,2005
BR,US,2,2005
DE,CA,1,2005
SE,US,1,2005
NL,AT,1,2005
FI,AT,1,2005
FI,NL,1,2005
CH,DE,1,2005
GB,CA,1,2005
US,CH,1,2005
HR,AT,1,2005
US,HR,1,2005
US,AU,1,2005
US,CA,1,2005
FR,US,1,2005
CH,US,1,2005
DE,AT,1,2005
US,DE,3,2006
US,GB,3,2006
GB,CA,2,2006
