source,target,value,year,level
Mathematics,Computer science,8,1990,0
Computer science,Physics,2,1990,0
Computer science,Materials science,2,1990,0
Biology,Computer science,1,1990,0
Biology,Materials science,1,1990,0
Geology,Computer science,1,1991,0
Mathematics,Computer science,1,1991,0
Computer science,Materials science,1,1991,0
Mathematics,Computer science,6,1992,0
Computer science,Physics,1,1992,0
Geology,Computer science,1,1992,0
Geology,Computer science,3,1993,0
Mathematics,Computer science,2,1993,0
Biology,Computer science,1,1993,0
Computer science,Physics,1,1993,0
Environmental science,Computer science,1,1993,0
Mathematics,Computer science,4,1994,0
Environmental science,Computer science,2,1994,0
Computer science,Physics,2,1994,0
Geology,Computer science,1,1994,0
Geology,Geography,1,1994,0
Geology,Environmental science,1,1994,0
Geography,Environmental science,1,1994,0
Computer science,Materials science,1,1994,0
Mathematics,Computer science,6,1995,0
Computer science,Physics,1,1995,0
Biology,Computer science,1,1995,0
Mathematics,Computer science,7,1996,0
Computer science,Materials science,1,1996,0
Geology,Computer science,1,1996,0
Mathematics,Computer science,7,1997,0
Computer science,Physics,2,1997,0
Environmental science,Computer science,1,1997,0
Environmental science,Physics,1,1997,0
Mathematics,Computer science,12,1998,0
Geology,Computer science,2,1998,0
Environmental science,Computer science,1,1998,0
Mathematics,Computer science,9,1999,0
Chemistry,Computer science,1,1999,0
Mathematics,Computer science,11,2000,0
Geology,Computer science,2,2000,0
Computer science,Physics,1,2000,0
Mathematics,Computer science,9,2001,0
Medicine,Computer science,1,2001,0
Engineering,Computer science,1,2001,0
Mathematics,Computer science,10,2002,0
Business,Computer science,1,2002,0
Chemistry,Computer science,1,2002,0
Geology,Computer science,1,2002,0
Environmental science,Computer science,1,2002,0
Mathematics,Computer science,10,2003,0
Mathematics,Computer science,12,2004,0
Computer science,Physics,2,2004,0
Geology,Computer science,1,2004,0
Medicine,Computer science,1,2004,0
Mathematics,Computer science,9,2005,0
Geology,Computer science,2,2005,0
Computer science,Physics,2,2005,0
Geology,Geography,1,2005,0
Mathematics,Physics,1,2005,0
Chemistry,Computer science,1,2005,0
Mathematics,Computer science,3,2006,0
Computer science,Materials science,1,2006,0
Computer science,Physics,1,2006,0
