concept_0,year_0,yearly frequency_0,rank_0,level_0,concept historical total_0,yearly vis total_0,proportion_0,concept_1,year_1,yearly frequency_1,rank_1,level_1,concept historical total_1,yearly vis total_1,proportion_1,concept_2,year_2,yearly frequency_2,rank_2,level_2,concept historical total_2,yearly vis total_2,proportion_2,concept_3,year_3,yearly frequency_3,rank_3,level_3,concept historical total_3,yearly vis total_3,proportion_3
Computer science,1990,50,1,0,3189,52,0.9615384615384616,Artificial intelligence,1990,14,1,1,1226,52,0.2692307692307692,Visualization,1990,30,1,2,2266,52,0.5769230769230769,Data visualization,1990,18,1,3,1438,52,0.34615384615384615
Computer science,1991,48,1,0,3189,50,0.96,Artificial intelligence,1991,16,1,1,1226,50,0.32,Visualization,1991,38,1,2,2266,50,0.76,Data visualization,1991,25,1,3,1438,50,0.5
Computer science,1992,51,1,0,3189,53,0.9622641509433962,Artificial intelligence,1992,15,1,1,1226,53,0.2830188679245283,Visualization,1992,33,1,2,2266,53,0.6226415094339622,Data visualization,1992,24,1,3,1438,53,0.4528301886792453
Computer science,1993,54,1,0,3189,55,0.9818181818181818,Artificial intelligence,1993,15,1,1,1226,55,0.2727272727272727,Visualization,1993,37,1,2,2266,55,0.6727272727272727,Data visualization,1993,21,1,3,1438,55,0.38181818181818183
Computer science,1994,48,1,0,3189,53,0.9056603773584906,Artificial intelligence,1994,10,1,1,1226,53,0.18867924528301888,Visualization,1994,36,1,2,2266,53,0.6792452830188679,Data visualization,1994,20,1,3,1438,53,0.37735849056603776
Computer science,1995,73,1,0,3189,74,0.9864864864864865,Artificial intelligence,1995,22,1,1,1226,74,0.2972972972972973,Visualization,1995,49,1,2,2266,74,0.6621621621621622,Data visualization,1995,25,1,3,1438,74,0.33783783783783783
Computer science,1996,76,1,0,3189,77,0.987012987012987,Artificial intelligence,1996,26,1,1,1226,77,0.33766233766233766,Visualization,1996,48,1,2,2266,77,0.6233766233766234,Data visualization,1996,29,1,3,1438,77,0.37662337662337664
Computer science,1997,85,1,0,3189,88,0.9659090909090909,Artificial intelligence,1997,27,1,1,1226,88,0.3068181818181818,Visualization,1997,43,1,2,2266,88,0.48863636363636365,Data visualization,1997,34,1,3,1438,88,0.38636363636363635
Computer science,1998,87,1,0,3189,90,0.9666666666666667,Artificial intelligence,1998,31,1,1,1226,90,0.34444444444444444,Visualization,1998,48,1,2,2266,90,0.5333333333333333,Data visualization,1998,29,1,3,1438,90,0.32222222222222224
Computer science,1999,87,1,0,3189,88,0.9886363636363636,Artificial intelligence,1999,25,1,1,1226,88,0.2840909090909091,Visualization,1999,50,1,2,2266,88,0.5681818181818182,Data visualization,1999,30,1,3,1438,88,0.3409090909090909
