Conference,Year,Title,DOI
VIS,2021,Simultaneous Matrix Orderings for Graph Collections,10.1109/tvcg.2021.3114773
VIS,2021,IRVINE: A Design Study on Analyzing Correlation Patterns of Electrical Engines,10.1109/tvcg.2021.3114797
VIS,2021,Perception! Immersion! Empowerment! Superpowers as Inspiration for Visualization,10.1109/tvcg.2021.3114844
VIS,2021,Feature Curves and Surfaces of 3D Asymmetric Tensor Fields,10.1109/tvcg.2021.3114808
VIS,2021,AffectiveTDA: Using Topological Data Analysis for Improved Explainability in Affective Computing,10.1109/tvcg.2021.3114784
VIS,2021,Human-in-the-loop Extraction of Interpretable Concepts in Deep Learning Models,10.1109/tvcg.2021.3114837
VIS,2021,Towards Visual Explainable Active Learning for Zero-Shot Classification,10.1109/tvcg.2021.3114793
VIS,2021,M^2Lens: Visualizing and Explaining Multimodal Models for Sentiment Analysis,10.1109/tvcg.2021.3114794
VIS,2021,NeuroCartography: Scalable Automatic Visual Summarization of Concepts in Deep Neural Networks,10.1109/tvcg.2021.3114858
VIS,2021,Visual Analytics for RNN-Based Deep Reinforcement Learning,10.1109/tvcg.2021.3076749
VIS,2021,Task-Based Effectiveness of Interactive Contiguous Area Cartograms,10.1109/tvcg.2020.3041745
VIS,2021,Nebula: A Coordinating Grammar of Graphics,10.1109/tvcg.2021.3076222
VIS,2021,Rotate or Wrap? Interactive Visualisations of Cyclical Data on Cylindrical or Toroidal Topologies,10.1109/tvcg.2021.3114693
VIS,2021,DIEL: Interactive Visualization Beyond the Here and Now,10.1109/tvcg.2021.3114796
VIS,2021,VizSnippets: Compressing Visualization Bundles Into Representative Previews for Browsing Visualization Collections,10.1109/tvcg.2021.3114841
VIS,2021,Learning Adaptive Sampling and Reconstruction for Volume Visualization,10.1109/tvcg.2020.3039340
VIS,2021,STNet: An End-to-End Generative Framework for Synthesizing Spatiotemporal Super-Resolution Volumes,10.1109/tvcg.2021.3114815
VIS,2021,Interactive Exploration of Physically-Observable Objective Vortices in Unsteady 2D Flow,10.1109/tvcg.2021.3115565
VIS,2021,Visual Analysis of Multi-Parameter Distributions across Ensembles of 3D Fields,10.1109/tvcg.2021.3061925
VIS,2021,Context Matters: A Theory of Semantic Discriminability for Perceptual Encoding Systems,10.1109/tvcg.2021.3114780
VIS,2021,Conceptual Metaphor and Graphical Convention Influence the Interpretation of Line Graphs,10.1109/tvcg.2021.3088343
VIS,2021,Affective Congruence in Visualization Design: Influences on Reading Categorical Maps,10.1109/tvcg.2021.3050118
VIS,2021,Augmenting Parallel Coordinates Plots with Color-coded Stacked Histograms,10.1109/tvcg.2020.3038446
VIS,2021,Seek for Success: A Visualization Approach for Understanding the Dynamics of Academic Careers,10.1109/tvcg.2021.3114790
VIS,2021,VitaLITy: Promoting Serendipitous Discovery of Academic Literature with Transformers & Visual Analytics,10.1109/tvcg.2021.3114820
VIS,2021,VIS30K: A Collection of Figures and Tables From IEEE Visualization Conference Publications,10.1109/tvcg.2021.3054916
VIS,2021,Gender in 30 Years of IEEE Visualization,10.1109/tvcg.2021.3114787
VIS,2021,E-ffective: A Visual Analytic System for Exploring the Emotion and Effectiveness of Inspirational Speeches,10.1109/tvcg.2021.3114789
VIS,2021,Explanatory Journeys: Visualising to Understand and Explain Administrative Justice Paths of Redress,10.1109/tvcg.2021.3114818
VIS,2021,The Unmet Data Visualization Needs of Decision Makers within Organizations,10.1109/tvcg.2021.3074023
VIS,2021,Knowledge Rocks: Adding Knowledge Assistance to Visualization Systems,10.1109/tvcg.2021.3114687
VIS,2021,A Critical Reflection on Visualization Research: Where Do Decision Making Tasks Hide?,10.1109/tvcg.2021.3114813
VIS,2021,From Jam Session to Concert Hall: Synchronous Communication and Collaboration Around Data in Organizations,10.1109/tvcg.2021.3114760
VIS,2021,Causal Support: Modeling Causal Inferences with Visualizations,10.1109/tvcg.2021.3114824
VIS,2021,Sibyl: Understanding and Addressing the Usability Challenges of Machine Learning In High-Stakes Decision Making,10.1109/tvcg.2021.3114864
VIS,2021,Semantic Snapping for Guided Multi-View Visualization Design,10.1109/tvcg.2021.3114860
VIS,2021,SightBi: Exploring Cross-View Data Relationships with Biclusters,10.1109/tvcg.2021.3114801
VIS,2021,matExplorer: Visual Exploration on Predicting of Ionic Conductivity for Solid-State Electrolytes,10.1109/tvcg.2021.3114812
VIS,2021,"TimeTubesX: A Query-Driven Visual Exploration of Observable, Photometric, and Polarimetric Behaviors of Blazars",10.1109/tvcg.2020.3025090
VIS,2021,Towards replacing physical testing of granular materials with a Topology-based Model,10.1109/tvcg.2021.3114819
VIS,2021,Tracking Internal Frames of Reference for Consistent Molecular Distribution Functions,10.1109/tvcg.2021.3051632
VIS,2021,Data Badges: Making an Academic Profile through a DIY wearable physicalisation,10.1109/mcg.2020.3025504
VIS,2021,Move&Find: The value of kinesthetic experience in a casual data representation,10.1109/mcg.2020.3025385
VIS,2021,Slave Voyages:reflections on data sculptures,10.1109/mcg.2020.3025183
VIS,2021,Narrative Physicalisation: Supporting Interactive Engagement with Personal Data,10.1109/mcg.2020.3025078
VIS,2021,Data Clothing and BigBarChart: designing physical data reports on indoor pollutants for individuals and communities,10.1109/mcg.2020.3025322
VIS,2021,InfoColorizer: Interactive Recommendation of Color Palettes for Infographics,10.1109/tvcg.2021.3085327
VIS,2021,A Mixed-Initiative Approach to Reusing Infographic Charts,10.1109/tvcg.2021.3114856
VIS,2021,Kori: Interactive Synthesis of Text and Charts in Data Documents,10.1109/tvcg.2021.3114802
VIS,2021,Deconstructing Categorization in Visualization Recommendation: A Taxonomy and Comparative Study,10.1109/tvcg.2021.3085751
VIS,2021,KG4Vis: A Knowledge Graph-Based Approach for Visualization Recommendation,10.1109/tvcg.2021.3114863
VIS,2021,VizLinter: A Linter and Fixer Framework for Data Visualization,10.1109/tvcg.2021.3114804
VIS,2021,Propagating Visual Designs to Numerous Plots and Dashboards,10.1109/tvcg.2021.3114828
VIS,2021,Exploring the Personal Informatics Analysis Gap: “There’s a Lot of Bacon”,10.1109/tvcg.2021.3114798
VIS,2021,What’s the Situation with Situated Visualization? A Survey and Perspectives on Situatedness,10.1109/tvcg.2021.3114835
VIS,2021,TIVEE: Visual Exploration and Explanation of Badminton Tactics in Immersive Visualizations,10.1109/tvcg.2021.3114861
VIS,2021,Touch and Beyond: Comparing Physical and Virtual Reality Visualizations,10.1109/tvcg.2020.3023336
VIS,2021,An Automated Approach to Reasoning About Task-Oriented Visualization Insights in Responsive Visualization,10.1109/tvcg.2021.3114782
VIS,2021,Imma Sort by Two or More Attributes With Interpretable Monotonic Multi-Attribute Sorting,10.1109/tvcg.2020.3043487
VIS,2021,Integrated Dual Analysis of Quantitative and Qualitative High-Dimensional Data,10.1109/tvcg.2021.3056424
VIS,2021,Revisiting Dimensionality Reduction Approaches for Visual Cluster Analysis: An Empirical Study,10.1109/tvcg.2021.3114694
VIS,2021,DimLift: Interactive Hierarchical Data Exploration through Dimensional Bundling,10.1109/tvcg.2021.3057519
VIS,2021,Attribute-based Explanations of Non-Linear Embeddings of High-Dimensional Data,10.1109/tvcg.2021.3114870
VIS,2021,Measuring and Explaining the Inter-Cluster Reliability of Multidimensional Projections,10.1109/tvcg.2021.3114833
VIS,2021,Dynamic 3D Visualization of Climate Model Development and Results,10.1109/mcg.2020.3042587
VIS,2021,Exploring the Design Space of Sankey Diagrams for the Food-Energy-Water Nexus,10.1109/mcg.2019.2927556
VIS,2021,QuteVis: Visually Studying Transportation Patterns Using Multi-Sketch Query of Joint Traffic Situations,10.1109/mcg.2019.2911230
VIS,2021,Many Views Are Not Enough: Designing for Synoptic Insights in Cultural Collections,10.1109/mcg.2020.2985368
VIS,2021,CLEVis: A Semantic Driven Visual Analytics System for Community Level Events,10.1109/mcg.2020.2973939
VIS,2021,Augmenting Sports Videos with VisCommentator,10.1109/tvcg.2021.3114806
VIS,2021,TacticFlow: Visual Analytics of Ever-Changing Tactics in Racket Sports,10.1109/tvcg.2021.3114832
VIS,2021,VideoModerator: A Risk-aware Framework for Multimodal Video Moderation in E-Commerce,10.1109/tvcg.2021.3114781
VIS,2021,A Visualization Approach for Monitoring Order Processing in E-Commerce Warehouse,10.1109/tvcg.2021.3114878
VIS,2021,MiningVis: Visual Analytics of the Bitcoin Mining Economy,10.1109/tvcg.2021.3114821
VIS,2021,Real-Time Visual Analysis of High-Volume Social Media Posts,10.1109/tvcg.2021.3114800
VIS,2021,CoUX: Collaborative Visual Analysis of Think-Aloud Usability Test Videos for Digital Interfaces,10.1109/tvcg.2021.3114822
VIS,2021,Professional Differences: A Comparative Study of Visualization Task Performance and Spatial Ability Across Disciplines,10.1109/tvcg.2021.3114805
VIS,2021,"Rainbow Dash: Intuitiveness, Interpretability and Memorability of the Rainbow Color Scheme in Visualization",10.1109/tvcg.2020.3035823
VIS,2021,"Learning Objectives, Insights, and Assessments: How Specification Formats Impact Design",10.1109/tvcg.2021.3114811
VIS,2021,Untidy Data: The Unreasonable Effectiveness of Tables,10.1109/tvcg.2021.3114830
VIS,2021,Accessible Visualization via Natural Language Descriptions: A Four-Level Model of Semantic Content,10.1109/tvcg.2021.3114770
VIS,2021,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,10.1109/tvcg.2021.3114829
VIS,2021,Communicating Visualizations without Visuals: Investigation of Visualization Alternative Text for People with Visual Impairments,10.1109/tvcg.2021.3114846
VIS,2021,GenNI: Human-AI Collaboration for Data-Backed Text Generation,10.1109/tvcg.2021.3114845
VIS,2021,Words of Estimative Correlation: Studying Verbalizations of Scatterplots,10.1109/tvcg.2020.3023537
