Year,DOI,Title,IEEE Title,IEEE DOI
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,D³ Data-Driven Documents,10.1109/TVCG.2011.185
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,10.1109/VISUAL.1991.175815
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,Parallel coordinates: a tool for visualizing multi-dimensional geometry,10.1109/VISUAL.1990.146402
2006,10.1109/TVCG.2006.147,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,10.1109/TVCG.2006.147
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,ROAMing terrain: Real-time Optimally Adapting Meshes,10.1109/VISUAL.1997.663860
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,Acceleration techniques for GPU-based volume rendering,10.1109/VISUAL.2003.1250384
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,Efficient simplification of point-sampled surfaces,10.1109/VISUAL.2002.1183771
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,Vizster: visualizing online social networks,10.1109/INFVIS.2005.1532126
2001,10.1109/VISUAL.2001.964489,Point set surfaces,Point set surfaces,10.1109/VISUAL.2001.964489
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,ManyEyes: a Site for Visualization at Internet Scale,10.1109/TVCG.2007.70577
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,Visualizing the non-visual: spatial analysis and interaction with information from text documents,10.1109/INFVIS.1995.528686
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,10.1109/TVCG.2007.70515
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases","Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",10.1109/INFVIS.2000.885086
1998,10.1109/VISUAL.1998.745282,Smooth view-dependent level-of-detail control and its application to terrain rendering,Smooth view-dependent level-of-detail control and its application to terrain rendering,10.1109/VISUAL.1998.745282
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,The asymptotic decider: resolving the ambiguity in marching cubes,10.1109/VISUAL.1991.175782
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,Narrative Visualization: Telling Stories with Data,10.1109/TVCG.2010.179
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,Simplifying surfaces with color and texture using quadric error metrics,10.1109/VISUAL.1998.745312
2009,10.1109/TVCG.2009.111,A Nested Model for Visualization Design and Validation,A Nested Model for Visualization Design and Validation,10.1109/TVCG.2009.111
1994,10.1109/VISUAL.1994.346302,XmdvTool: integrating multiple methods for visualizing multivariate data,XmdvTool: integrating multiple methods for visualizing multivariate data,10.1109/VISUAL.1994.346302
2000,10.1109/INFVIS.2000.885092,A taxonomy of visualization techniques using the data state reference model,A taxonomy of visualization techniques using the data state reference model,10.1109/INFVIS.2000.885092
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,NodeTrix: a Hybrid Visualization of Social Networks,10.1109/TVCG.2007.70582
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,Hierarchical parallel coordinates for exploration of large datasets,10.1109/VISUAL.1999.809866
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,10.1109/VAST.2007.4389006
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,10.1109/VISUAL.2001.964519
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,UpSet: Visualization of Intersecting Sets,10.1109/TVCG.2014.2346248
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,Low-level components of analytic activity in information visualization,10.1109/INFVIS.2005.1532136
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,ThemeRiver: visualizing theme changes over time,10.1109/INFVIS.2000.885098
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,Curvature-based transfer functions for direct volume rendering: methods and applications,10.1109/VISUAL.2003.1250414
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations","Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",10.1109/INFVIS.2000.885091
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,Cluster and calendar based visualization of time series data,10.1109/INFVIS.1999.801851
1999,10.1109/VISUAL.1999.809869,New quadric metric for simplifying meshes with appearance attributes,New quadric metric for simplifying meshes with appearance attributes,10.1109/VISUAL.1999.809869
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,Multi-projector displays using camera-based registration,10.1109/VISUAL.1999.809883
1996,10.1109/VISUAL.1996.568108,A haptic interaction method for volume visualization,A haptic interaction method for volume visualization,10.1109/VISUAL.1996.568108
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation","SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",10.1109/INFVIS.2002.1173148
2007,10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,Animated Transitions in Statistical Data Graphics,10.1109/TVCG.2007.70539
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,10.1109/TVCG.2008.153
1998,10.1109/VISUAL.1998.745280,Large scale terrain visualization using the restricted quadtree triangulation,Large scale terrain visualization using the restricted quadtree triangulation,10.1109/VISUAL.1998.745280
1996,10.1109/VISUAL.1996.568126,Dynamic view-dependent simplification for polygonal models,Dynamic view-dependent simplification for polygonal models,10.1109/VISUAL.1996.568126
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,10.1109/TVCG.2006.115
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,Design Study Methodology: Reflections from the Trenches and the Stacks,10.1109/TVCG.2012.213
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,10.1109/TVCG.2013.226
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,Interactive ray tracing for isosurface rendering,10.1109/VISUAL.1998.745713
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,Show Me: Automatic Presentation for Visual Analysis,10.1109/TVCG.2007.70594
1997,10.1109/INFVIS.1997.636718,H3: laying out large directed graphs in 3D hyperbolic space,H3: laying out large directed graphs in 3D hyperbolic space,10.1109/INFVIS.1997.636718
2000,10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,Anisotropic geometric diffusion in surface processing,10.1109/VISUAL.2000.885721
1997,10.1109/INFVIS.1997.636792,The structure of the information visualization design space,The structure of the information visualization design space,10.1109/INFVIS.1997.636792
1998,10.1109/VISUAL.1998.745314,Fast and memory efficient polygonal simplification,Fast and memory efficient polygonal simplification,10.1109/VISUAL.1998.745314
2009,10.1109/TVCG.2009.171,Participatory Visualization with Wordle,Participatory Visualization with Wordle,10.1109/TVCG.2009.171
2001,10.1109/INFVIS.2001.963273,Visualizing time-series on spirals,Visualizing time-series on spirals,10.1109/INFVIS.2001.963273
2007,10.1109/TVCG.2007.70535,A Taxonomy of Clutter Reduction for Information Visualisation,A Taxonomy of Clutter Reduction for Information Visualisation,10.1109/TVCG.2007.70535
2004,10.1109/INFVIS.2004.1,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,10.1109/INFVIS.2004.1
1997,10.1109/VISUAL.1997.663875,The contour spectrum,The contour spectrum,10.1109/VISUAL.1997.663875
2005,10.1109/VISUAL.2005.1532788,VisTrails: enabling interactive multiple-view visualizations,VisTrails: enabling interactive multiple-view visualizations,10.1109/VISUAL.2005.1532788
2006,10.1109/TVCG.2006.166,Network Visualization by Semantic Substrates,Network Visualization by Semantic Substrates,10.1109/TVCG.2006.166
2008,10.1109/TVCG.2008.166,Stacked Graphs - Geometry & Aesthetics,Stacked Graphs – Geometry & Aesthetics,10.1109/TVCG.2008.166
1997,10.1109/VISUAL.1997.663888,Application-controlled demand paging for out-of-core visualization,Application-controlled demand paging for out-of-core visualization,10.1109/VISUAL.1997.663888
1990,10.1109/VISUAL.1990.146375,A problem-oriented classification of visualization techniques,A problem-oriented classification of visualization techniques,10.1109/VISUAL.1990.146375
2004,10.1109/INFVIS.2004.64,The InfoVis Toolkit,The InfoVis Toolkit,10.1109/INFVIS.2004.64
2007,10.1109/TVCG.2007.70541,Casual Information Visualization: Depictions of Data in Everyday Life,Casual Information Visualization: Depictions of Data in Everyday Life,10.1109/TVCG.2007.70541
1994,10.1109/VISUAL.1994.346331,An evaluation of reconstruction filters for volume rendering,An evaluation of reconstruction filters for volume rendering,10.1109/VISUAL.1994.346331
2011,10.1109/VAST.2011.6102456,SensePlace2: GeoTwitter analytics support for situational awareness,SensePlace2: GeoTwitter analytics support for situational awareness,10.1109/VAST.2011.6102456
2005,10.1109/VISUAL.2005.1532781,The value of visualization,The value of visualization,10.1109/VISUAL.2005.1532781
2011,10.1109/TVCG.2011.239,TextFlow: Towards Better Understanding of Evolving Topics in Text,TextFlow: Towards Better Understanding of Evolving Topics in Text,10.1109/TVCG.2011.239
2000,10.1109/VISUAL.2000.885694,Volume illustration: non-photorealistic rendering of volume models,Volume illustration: non-photorealistic rendering of volume models,10.1109/VISUAL.2000.885694
