Year,DOI,Title,OpenAlex Year,OpenAlex Publication Date,OpenAlex ID,OpenAlex Title,OpenAlex DOI,OpenAlex URL,OpenAlex Venue ID,OpenAlex Venue Name,OpenAlex Publisher,Publication Type,OpenAlex First Page,OpenAlex Last Page,Number of Pages,Number of References,Number of Authors,Number of Concepts,Number of Citations,Citation API URL,Number of Citation API URLs
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,2011,2011-12-01,W2135415614,D³ Data-Driven Documents,https://doi.org/10.1109/tvcg.2011.185,https://doi.org/10.1109/tvcg.2011.185,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,2301,2309,9.0,27,3,15,2239,https://api.openalex.org/works?filter=cites:W2135415614,1
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,1991,1991-10-22,W2146872957,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,https://doi.org/10.5555/949607.949654,http://dx.doi.org/10.1109/VISUAL.1991.175815,,ieee visualization,IEEE Computer Society Press,proceedings-article,284,291,8.0,21,2,13,1116,https://api.openalex.org/works?filter=cites:W2146872957,1
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,1990,1990-10-23,W2034694694,Parallel coordinates: a tool for visualizing multi-dimensional geometry,https://doi.org/10.5555/949531.949588,http://dx.doi.org/10.1109/VISUAL.1990.146402,,ieee visualization,IEEE Computer Society Press,proceedings-article,361,378,18.0,20,2,16,990,https://api.openalex.org/works?filter=cites:W2034694694,1
2006,10.1109/TVCG.2006.147,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,2006,2006-09-01,W2145640629,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,https://doi.org/10.1109/tvcg.2006.147,https://doi.org/10.1109/tvcg.2006.147,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,741,748,8.0,32,1,11,807,https://api.openalex.org/works?filter=cites:W2145640629,1
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,1997,1997-10-01,W2532506824,ROAMing terrain: real-time optimally adapting meshes,https://doi.org/10.5555/266989.267028,http://kucg.korea.ac.kr/seminar/2001/src/PA-01-45.pdf,,ieee visualization,IEEE Computer Society Press,proceedings-article,81,88,8.0,20,6,12,585,https://api.openalex.org/works?filter=cites:W2532506824,1
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,2003,2003-10-22,W2113001609,Acceleration techniques for GPU-based volume rendering,https://doi.org/10.1109/vis.2003.10001,https://doi.org/10.1109/VISUAL.2003.1250384,,ieee visualization,IEEE Computer Society,proceedings-article,38,38,1.0,17,2,16,607,https://api.openalex.org/works?filter=cites:W2113001609,1
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,2002,2002-10-27,W2156849739,Efficient simplification of point-sampled surfaces,https://doi.org/10.5555/602099.602123,http://dx.doi.org/10.1109/VISUAL.2002.1183771,,ieee visualization,IEEE Computer Society,proceedings-article,163,170,8.0,37,3,12,599,https://api.openalex.org/works?filter=cites:W2156849739,1
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,2005,2005-10-23,W1546650522,Vizster: visualizing online social networks,https://doi.org/10.1109/infovis.2005.39,https://doi.org/10.1109/infovis.2005.39,,ieee symposium on information visualization,IEEE Computer Society,proceedings-article,5,5,1.0,19,2,11,542,https://api.openalex.org/works?filter=cites:W1546650522,1
2001,10.1109/VISUAL.2001.964489,Point set surfaces,2001,2001-01-01,W3146210588,Point set surfaces,https://doi.org/10.1109/visual.2001.964489,https://doi.org/10.1109/visual.2001.964489,,ieee visualization,,proceedings-article,,,,36,5,3,205,https://api.openalex.org/works?filter=cites:W3146210588,1
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,2007,2007-11-01,W2119828234,ManyEyes: a Site for Visualization at Internet Scale,https://doi.org/10.1109/tvcg.2007.70577,https://doi.org/10.1109/tvcg.2007.70577,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1121,1128,8.0,81,5,14,626,https://api.openalex.org/works?filter=cites:W2119828234,1
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,1995,1995-10-30,W2141018272,Visualizing the non-visual: spatial analysis and interaction with information from text documents,https://doi.org/10.1109/infvis.1995.528686,https://doi.org/10.1109/infvis.1995.528686,,ieee symposium on information visualization,IEEE Computer Society,proceedings-article,442,450,9.0,9,7,13,597,https://api.openalex.org/works?filter=cites:W2141018272,1
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,2007,2007-11-01,W2161133721,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,https://doi.org/10.1109/tvcg.2007.70515,https://doi.org/10.1109/tvcg.2007.70515,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1224,1231,8.0,53,4,9,723,https://api.openalex.org/works?filter=cites:W2161133721,1
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",2000,2000-10-09,W1932370209,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",https://doi.org/10.1109/infvis.2000.885086,https://doi.org/10.1109/infvis.2000.885086,,ieee symposium on information visualization,IEEE Computer Society,proceedings-article,5,14,10.0,39,2,15,113,https://api.openalex.org/works?filter=cites:W1932370209,1
1998,10.1109/VISUAL.1998.745282,Smooth view-dependent level-of-detail control and its application to terrain rendering,1998,1998-10-18,W2164191390,Smooth view-dependent level-of-detail control and its application to terrain rendering,https://doi.org/10.5555/288216.288221,http://dx.doi.org/10.1109/VISUAL.1998.745282,,ieee visualization,IEEE Computer Society Press,proceedings-article,35,42,8.0,24,1,9,440,https://api.openalex.org/works?filter=cites:W2164191390,1
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,1991,1991-10-22,W2106073588,The asymptotic decider: resolving the ambiguity in marching cubes,https://doi.org/10.5555/949607.949621,http://dx.doi.org/10.1109/VISUAL.1991.175782,,ieee visualization,IEEE Computer Society Press,proceedings-article,83,91,9.0,16,2,11,403,https://api.openalex.org/works?filter=cites:W2106073588,1
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,2010,2010-11-01,W2157900633,Narrative Visualization: Telling Stories with Data,https://doi.org/10.1109/tvcg.2010.179,https://doi.org/10.1109/tvcg.2010.179,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1139,1148,10.0,18,2,12,656,https://api.openalex.org/works?filter=cites:W2157900633,1
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,1998,1998-10-18,W2027947870,Simplifying surfaces with color and texture using quadric error metrics,https://doi.org/10.5555/288216.288280,https://mgarland.org/files/papers/quadric2.pdf,,ieee visualization,IEEE Computer Society Press,proceedings-article,263,269,7.0,18,2,10,372,https://api.openalex.org/works?filter=cites:W2027947870,1
2009,10.1109/TVCG.2009.111,A Nested Model for Visualization Design and Validation,2009,2009-11-01,W2142493242,A Nested Model for Visualization Design and Validation,https://doi.org/10.1109/tvcg.2009.111,https://doi.org/10.1109/tvcg.2009.111,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,921,928,8.0,54,1,16,612,https://api.openalex.org/works?filter=cites:W2142493242,1
1994,10.1109/VISUAL.1994.346302,XmdvTool: integrating multiple methods for visualizing multivariate data,1994,1994-10-17,W2017018978,XmdvTool: integrating multiple methods for visualizing multivariate data,https://doi.org/10.5555/951087.951146,http://ieeexplore.ieee.org/document/346302/,,ieee visualization,IEEE Computer Society Press,proceedings-article,326,333,8.0,12,1,11,359,https://api.openalex.org/works?filter=cites:W2017018978,1
2000,10.1109/INFVIS.2000.885092,A taxonomy of visualization techniques using the data state reference model,2000,2000-10-09,W2164244016,A taxonomy of visualization techniques using the data state reference model,https://doi.org/10.1109/infvis.2000.885092,https://doi.org/10.1109/infvis.2000.885092,,ieee symposium on information visualization,IEEE Computer Society,proceedings-article,69,75,7.0,7,1,12,410,https://api.openalex.org/works?filter=cites:W2164244016,1
